"review_id","order_id","review_comment_title","review_comment_message"
"00032b0141443497c898b3093690af51","04fb47576993a3cb0c12d4b25eab6e4e","",""
"000359bceee1b6fe876b30d35b5f9ef2","97868e4c884bc85f4501ae0a66181cc9","",""
"000caf14947c8f8a867754e6044c2e7b","6f5a4883cdf5054788a32b5c8b36a8ed","",""
"0016d2d10b5c26607549a29446578edf","7536412c065c3c88cab8d15d406b24d8","",""
"001a4411893b94d3f37d248e3586c63d","2e931584519b7ebc7b1a445a4f7cd8f1","","Produto bom. Recomendo a compra. Entrega um pouco demorada, mas enfim chegou e est?? correto."
"001ce468e08e9ee56753421128bec6f4","465e367896219452ecc8d8dc02f61531","",""
"0025a8a1273dda6c6174b2e3d69225d7","897da32e9712dafcf2fb6615aeb3318c","",""
"002d89a798b17f7c2887bd11785b09ec","0446aaa642b81cd046c44edda61ed010","",""
"002f492a201534c326517ba70a5edfb6","a44769d4b105fc1256ab873c55d43af6","",""
"00355aabc83e148cd43833a1c0f6f3fe","7e844a0812d948cb6f3a7ffa97bde8dd","","Produto recebido antes do prazo estabelecido e de acordo com o que foi solicitado."
"0036406b2cc6f30d2b33048647f6f5a3","8a12018fd6af932819b6e06b6e3eeba7","","??timo produto,entrega r??pida e super bem embalado.Super recomendo!!!"
"00390430316d2ec6557b4c9b4213da4e","65e58aacdb27163c49aeb7382b07efb3","",""
"00418c4b4e9a254383c09e057ad3966c","6e69e79ae5c37939561c11bf79f4b866","","O produto foi entregue at?? antes da data prevista. Fiquei satisfeita com a compra."
"004580d2657b221e45f84f4169675ecd","049ede3fc839758e81752a9dacd1f911","",""
"0047ca502c37fbba9b3a31eeae3fe0c2","68e48e68da1f50f7c5838ea75e3a20dd","",""
"0047eb904f868090cc7aec650dfb574c","78d08dbbd210373254dc4730f3aa25a0","",""
"004e9b7b916a0a68269e00bac99e29fd","8647ff7e5f9536a33f5e6fd7f2c08d2a","",""
"005323819530bea951c3b5d04a381fcd","03e5d6a8dd520898f86f8429ccd07c21","",""
"005827eb7eb6381f44bd1b76a702d14b","3453b206c6aec2e9dcb09d2cea15e7cb","","Recomendo entregaram bem antes do prazo."
"0060224a4750ca9f2df557474bcfb605","00a13ab02fbe82f78cd84f14e41564ed","",""
"0064bc7363b0ce5d319ce5d431fce38a","e3c2bd85842c8c1e31ed960eea5fa85c","","Muito bom e segurobo produto"
"006a7abc1ae9f90236994a79afdf4d7a","43cf2ad64d9ba181030a47b6a7cad49f","*****",""
"006aeabb2a1ff6d8074ecb4b56afd4d4","05095322e4f3619255e9450335966c33","","Quero cancelar este pedido"
"00769f578dc2ecc5aa37e6a0269853d1","3c5b8e9f31061a7aeb8531216a18606d","",""
"0077bd924a9e436de9b1bce12ef1da89","028ad19261e3ad3406ca689348755456","","mandei por e-mail a informa????o de que recebi a voltagem errada e NINGU??M ME DEU RETORNO. Inclusive enviei um numero de celular mas infelizmente a empresa n??o retornou."
"007b539ed3ef2c5da19e7527069c89fe","9f882c1f904b7dd156572ada58d7a7ae","","Gostei doproduto comprado obrigado."
"007f155f02008dd28da584c210767024","2f5112688e80d5d79344cac900d6bd0b","Produto divergente","Recebi um produto divergente, como efeito a troca?"
"007fee42d42072e93608eda979d9d49f","440b07cde0dc78d377c42d29845bcafd","","muito bom o produto, chegou r??pido loja competente."
"00800678dcf28b0ea0caef2147b6945d","000aed2e25dbad2f9ddb70584c5a2ded","produto n??o entregue","Mudo minha opini??o assim que receber o produto.
Consta no site que o produto foi entregue, mas n??o recebi."
"008396ce4c9d08d5371b4cd708058b2a","0da2f53b590353e40a328c2d8c3dd010","","Qualidade inferior ?? esperada."
"00906040e1fa230cd447e0e2ab23221c","033dbd83c331548108afda89d5bc6b79","","Produto chegou uns 15 dias antes do prazo. (O que ?? ??timo) Entrega r??pida. Super bem embalado."
"0094dde1b39ed6847a41b15204fd3cdd","9dc439a9d732ca991174a53f114c3cde","","produto ainda n??o entregue"
"009621256e39358c2ed871796e9acf72","2771a9b2fefbbaee6eb0924c73b0b32e","",""
"0098a1f240c3744c8b356396ad4da32d","01c391e962558d0793e8dd8f6bad0999","",""
"009b723158deb0dc01f49a5c1d32fd3e","693868f7e2e4ec2b5d0f1f35daee6917","",""
"009cfd7eae00f368bfeddd43d43dfce0","117c08edcd4cf5c43118fefa4e0dab79","Prazo n??o cumprido","Houve atraso de 6 dias em rela????o ao informado e n??o houve atualiza????o da data."
"009ff7761519d664046d0baabeda1985","e75a94d6e8bdba1aa2a9946c3837a636","","muito boom"
"00a0ad594cfe7b3c31259ba04e26402a","e8e5d972d73d38807a474519f2f23658","",""
"00a1b1c8636bce2a676e93c203c1d585","78efa452393fd1c902416648db793ccf","","satisfeito eu recomendo"
"00a669ed129f7daf6d8a5cae27d12213","8861169e1fdf588ae812507b0cd3e2fb","",""
